country,state,city,lng,lat
Argentina,Jujuy,Humahuaca,-65.3505,-23.2054
Argentina,Catamarca,Belén,-67.0287,-27.6510
Argentina,Buenos Aires,Benito Juárez,-59.8000,-37.6833
Argentina,Río Negro,Choele Choel,-65.6833,-39.2667
Argentina,Santa Fe,Vera,-60.2126,-29.4593
Argentina,Santa Fe,San Justo,-60.5919,-30.7891
Argentina,Chaco,Castelli,-60.6195,-25.9468
Argentina,La Rioja,Chamical,-66.3140,-30.3600
Argentina,Neuquén,Chos Malal,-70.2708,-37.3781
Argentina,Río Negro,San Antonio Oeste,-64.9477,-40.7319
Argentina,Santa Cruz,El Calafate,-72.2651,-50.3370
Argentina,Formosa,Las Lomitas,-60.5930,-24.7095
Argentina,Buenos Aires,Carhué,-62.7579,-37.1767
Argentina,Buenos Aires,Pedro Luro,-62.6817,-39.5025
Argentina,Jujuy,Rinconada,-66.1678,-22.4408
Argentina,Formosa,Ingeniero Guillermo N. Juárez,-61.8500,-23.9000
Argentina,La Rioja,Chepes,-66.6000,-31.3500
Argentina,Río Negro,Ingeniero Jacobacci,-69.5448,-41.3427
Argentina,Santa Cruz,Veintiocho de Noviembre,-72.3000,-51.6500
Argentina,Chubut,Sarmiento,-69.0700,-45.5881
Argentina,Jujuy,Abra Pampa,-65.6970,-22.7205
Argentina,La Pampa,Victorica,-65.4359,-36.2150
Argentina,Mendoza,La Paz,-67.5496,-33.4609
Argentina,Formosa,Comandante Fontana,-59.6821,-25.3345
Argentina,"Buenos Aires, Ciudad Autónoma de",El Maitén,-71.1669,-42.0492
Argentina,Salta,San Antonio de los Cobres,-66.3188,-24.2180
Argentina,Santa Cruz,Perito Moreno,-70.9297,-46.5899
Argentina,Buenos Aires,Darregueira,-63.1608,-37.6889
Argentina,Santa Cruz,Puerto Deseado,-65.8938,-47.7503
Argentina,Río Negro,General Conesa,-64.4333,-40.1000
Argentina,Chaco,Pampa del Infierno,-61.1744,-26.5052
Argentina,Buenos Aires,Villalonga,-62.6178,-39.9161
Argentina,Catamarca,Chumbicha,-66.2350,-28.8543
Argentina,Santa Cruz,Gobernador Gregores,-70.2474,-48.7506
Argentina,Mendoza,Uspallata,-69.3487,-32.5917
Argentina,Santa Cruz,San Julián,-67.7274,-49.3055
Argentina,Chubut,Río Mayo,-70.2580,-45.6857
Argentina,Tucumán,Trancas,-65.2803,-26.2314
Argentina,Chubut,Alto Río Senguer,-70.8198,-45.0410
Argentina,Río Negro,Sierra Colorada,-67.7567,-40.5849
Argentina,Córdoba,Villa Rumipal,-64.4803,-32.1879
Argentina,Neuquén,Las Lajas,-70.3674,-38.5232
Argentina,Salta,Los Blancos,-62.6000,-23.6000
Argentina,Jujuy,Susques,-66.3670,-23.3986
Argentina,Río Negro,Comallo,-70.2678,-41.0299
Argentina,San Juan,Rodeo,-69.1366,-30.2119
Argentina,Catamarca,Tinogasta,-67.5649,-28.0632
Argentina,Chubut,Gastre,-69.2197,-42.2751
Argentina,Chubut,Telsen,-66.9408,-42.4355
Argentina,Santa Cruz,Comandante Luis Piedra Buena,-68.9147,-49.9851
Argentina,Catamarca,El Alto,-65.3640,-28.3112
Argentina,Buenos Aires,San Isidro,-58.5271,-34.4721
Argentina,Jujuy,Santa Catalina,-66.0522,-21.9447
Argentina,Catamarca,La Merced,-65.6603,-28.1520
Argentina,La Pampa,Trenel,-64.1322,-35.6984
Argentina,Buenos Aires,Trenque Lauquen,-62.7343,-35.9703
Argentina,Buenos Aires,Tornquist,-62.2227,-38.1012
Argentina,Tucumán,La Cocha,-65.5704,-27.7773
Argentina,Mendoza,Godoy Cruz,-68.8351,-32.9286
Argentina,Santa Fe,Sastre,-61.8289,-31.7676
Argentina,Córdoba,Oliva,-63.5698,-32.0416
Argentina,Buenos Aires,Ramallo,-60.0071,-33.4848
Argentina,Mendoza,Tupungato,-69.1484,-33.3715
Argentina,Tucumán,Yerba Buena,-65.3167,-26.8167
Argentina,Salta,La Caldera,-65.3810,-24.6016
Argentina,Córdoba,San Carlos,-65.1025,-31.1776
Argentina,Salta,San Carlos,-65.9294,-25.8862
Argentina,Buenos Aires,Capitán Sarmiento,-59.7905,-34.1724
Argentina,Santiago del Estero,Garza,-63.5393,-28.1532
Argentina,Salta,Metán,-64.9739,-25.4990
Argentina,La Pampa,Algarrobo del Águila,-67.1451,-36.3997
Argentina,Entre Ríos,Nogoyá,-59.7895,-32.3939
Argentina,Buenos Aires,Miramar,-57.8367,-38.2688
Argentina,Catamarca,Andalgalá,-66.3165,-27.5820
Argentina,Neuquén,Andacollo,-70.6691,-37.1795
Argentina,Buenos Aires,Olivos,-58.4870,-34.5075
Argentina,Buenos Aires,Lanús,-58.3955,-34.7025
Argentina,Misiones,Puerto Rico,-55.0240,-26.7960
Argentina,Corrientes,Monte Caseros,-57.6363,-30.2536
Argentina,Santiago del Estero,Brea Pozo,-63.9509,-28.2438
Argentina,Misiones,Alba Posse,-54.6826,-27.5698
Argentina,Buenos Aires,Rojas,-60.7350,-34.1953
Argentina,Entre Ríos,Rosario del Tala,-59.1455,-32.3029
Argentina,Buenos Aires,Lomas de Zamora,-58.4063,-34.7609
Argentina,Santiago del Estero,Fernández,-63.8935,-27.9204
